open_time,open,high,low,close,volume
2025-07-11 00:00:00,686.3,691.0,684.32,688.45,50702.11
2025-07-11 01:00:00,688.44,691.87,688.01,689.63,34475.94
2025-07-11 02:00:00,689.64,691.14,688.41,690.55,18406.09
2025-07-11 03:00:00,690.56,691.6,689.45,689.65,15480.65
2025-07-11 04:00:00,689.66,689.84,687.72,689.61,14544.45
2025-07-11 05:00:00,689.61,695.4,689.61,693.39,49328.35
2025-07-11 06:00:00,693.39,695.01,688.09,688.39,28768.56
2025-07-11 07:00:00,688.4,688.4,685.01,685.29,42423.25
2025-07-11 08:00:00,685.29,688.47,684.44,688.17,35022.04
2025-07-11 09:00:00,688.16,690.95,687.75,689.56,23316.39
2025-07-11 10:00:00,689.56,690.38,688.89,689.71,17288.36
2025-07-11 11:00:00,689.7,690.2,687.75,688.59,21386.32
2025-07-11 12:00:00,688.58,690.14,687.78,690.06,12074.28
2025-07-11 13:00:00,690.05,691.66,688.61,691.13,24812.66
2025-07-11 14:00:00,691.13,694.66,690.08,692.54,29380.98
2025-07-11 15:00:00,692.53,693.6,686.53,687.7,40760.57
2025-07-11 16:00:00,687.69,694.97,686.3,694.45,50918.24
2025-07-11 17:00:00,694.46,697.26,693.63,695.99,47527.5
2025-07-11 18:00:00,695.99,697.78,694.99,696.28,21627.73
2025-07-11 19:00:00,696.28,696.38,693.04,694.26,19820.37
2025-07-11 20:00:00,694.26,694.5,691.15,691.6,14500.92
2025-07-11 21:00:00,691.6,692.58,687.02,689.02,24114.1
2025-07-11 22:00:00,689.03,689.87,683.01,686.48,37960.08
2025-07-11 23:00:00,686.49,690.4,686.34,690.4,12344.1
2025-07-12 00:00:00,690.4,692.5,688.29,692.09,26852.89
2025-07-12 01:00:00,692.09,695.28,692.09,694.19,15853.55
2025-07-12 02:00:00,694.19,695.14,692.92,693.27,9550.01
2025-07-12 03:00:00,693.27,695.72,693.24,695.63,10124.15
2025-07-12 04:00:00,695.64,697.38,691.73,692.41,21614.05
2025-07-12 05:00:00,692.41,693.0,690.52,692.64,11770.43
2025-07-12 06:00:00,692.64,695.23,691.48,694.22,10957.92
2025-07-12 07:00:00,694.23,694.96,691.6,694.71,19203.89
2025-07-12 08:00:00,694.7,695.0,691.46,692.33,15359.05
2025-07-12 09:00:00,692.33,694.37,691.88,694.23,10458.33
2025-07-12 10:00:00,694.23,694.5,693.49,694.18,11791.14
2025-07-12 11:00:00,694.18,694.37,691.86,692.19,10369.22
2025-07-12 12:00:00,692.19,692.4,685.31,688.36,33293.11
2025-07-12 13:00:00,688.37,688.49,684.0,687.41,27753.78
2025-07-12 14:00:00,687.41,688.01,685.44,685.49,14433.58
2025-07-12 15:00:00,685.49,685.74,679.47,681.29,46768.98
